Username,Grade,Operation,Start Level,Reached Level,Level Jump,MD Accuracy Start (%),Practice Accuracy (%),Total Attempts,Total Time (min),Mistake 1,Mistake 2,Correct 1,Correct 2
1245,6,addition,,,,,100.0,120,70,73 + 0 = ? (answered 0),39 + 0 = ? (answered 0),526 + 61 = 587,10 + 200 = 210
1469200,6,addition,,,,,,60,37,64 + 18 = ? (answered I82),546 + 8736 = ? (answered 92872),69402 + 11901 = 81303,16464 + 75897 = 92361
1936228,6,addition,,,,,94.44,96,18,9 + 9 = ? (answered 66),6 + 8 = ? (answered 0),4 + 4 = 8,6 + 3 = 9
2.03E+11,6,addition,,,,,,60,25,4 + 0 = ? (answered 40),3 + 9 = ? (answered 11),6275 + 20008 = 26283,16464 + 75897 = 92361
20000146019,6,addition,,,,,100.0,120,28,21 + 328 = ? (answered 34),89 + 78 = ? (answered 117),526 + 61 = 587,10 + 200 = 210
20000220181,6,addition,,,,,100.0,60,2879,30 + 31 = ? (answered 31),900 + 9 = ? (answered 109),0 + 0 = 7776,6543 + 2135 = 8678
20000282519,6,addition,,,,,80.3,114,8626,7 + 9 = ? (answered 14),30 + 50 = ? (answered 70),3 + 3 = 6,3 + 2 = 5
2000187640,6,addition,,,,,,60,8,64 + 18 = ? (answered 72),6 + 8 = ? (answered 12),300 + 500 = 800,201 + 292 = 493
20002185984,6,addition,,,,,,60,21,3 + 60 = ? (answered 9),64 + 18 = ? (answered 91),7093 + 69711 = 76804,79283 + 2333 = 81616
20002680124,6,addition,,,,,98.92,153,62,11 + 44 = ? (answered 52),812 + 39 = ? (answered 821),20008 + 5 = 20013,3 + 24617 = 24620
20002761710,6,addition,,,,,100.0,88,11540,64 + 34 = ? (answered 852),30 + 31 = ? (answered 14),17 + 31 = nan,47 + 51 = nan
20003115884,6,addition,,,,,98.08,112,7137,64 + 34 = ? (answered 88),21 + 328 = ? (answered 331),328 + 451 = 779,103 + 390 = 493
20003585459,6,addition,,,,,,48,6976,1 + 4 = ? (answered 52),0 + 6 = ? (answered 53),5 + 3 = 8,4 + 0 = 4
20003601220,6,addition,,,,,,48,9,3 + 9 = ? (answered 78),998 + 88 = ? (answered 1006),546 + 8736 = 9282,6634 + 2576 = 9210
20005052463,6,addition,,,,,98.2,171,80,89 + 78 = ? (answered 77),89 + 826 = ? (answered 917),8 + 1321 = 1329,500 + 4007 = 4507
20005064226,6,addition,,,,,,48,17,27 + 55 = ? (answered 75),89 + 78 = ? (answered 165),6634 + 2576 = 9210,3581 + 4909 = 8490
20005145526,6,addition,,,,,99.06,166,58,900 + 9 = ? (answered 999),64 + 18 = ? (answered 72),32 + 160 = 192,5 + 200 = 205
20006316330,6,addition,,,,,,60,30,900 + 9 = ? (answered 1800),89 + 78 = ? (answered 132),68020 + 28281 = 96301,16464 + 75897 = 92361
20006560543,6,addition,,,,,95.5,171,67,5 + 3495 = ? (answered 3400),546 + 8736 = ? (answered 9285),45 + 3253 = 3298,5 + 2391 = 2396
20006734491,6,addition,,,,,95.86,229,11518,3 + 9 = ? (answered 11),6 + 36 = ? (answered 41),30 + 170 = 200,217 + 103 = 320
20006864689,6,addition,,,,,,48,12,27 + 55 = ? (answered 92),998 + 88 = ? (answered 1116),6000 + 3350 = 9350,3581 + 4909 = 8490
20007767479,6,addition,,,,,99.03,368,7207,21 + 328 = ? (answered 429),62 + 8887 = ? (answered 9),56432 + 7 = 56439,65471 + 24517 = 89988
20007816399,6,addition,,,,,,48,59,3 + 60 = ? (answered 90),5 + 55 = ? (answered 110),6000 + 3350 = 9350,3581 + 4909 = 8490
20008332451,6,addition,,,,,,42,19,7 + 7 = ? (answered 13),64 + 18 = ? (answered 75),62 + 8887 = 8949,401 + 1503 = 1904
20008943959,6,addition,,,,,,48,20,6 + 36 = ? (answered 43),9 + 99 = ? (answered 189),6000 + 3350 = 9350,6634 + 2576 = 9210
20009083336,6,addition,,,,,,60,19,7 + 9 = ? (answered 13),27 + 55 = ? (answered 77),3581 + 4909 = 8490,43562 + 4 = 43566
20009652505,6,addition,,,,,94.41,758,9970,21 + 328 = ? (answered 21),9 + 99 = ? (answered 9),150 + 75 = 225,7 + 990 = 997
20009844994,6,addition,,,,,95.5,173,5920,64 + 34 = ? (answered 94),812 + 39 = ? (answered 841),5 + 2391 = 2396,500 + 4007 = 4507
20009939222,6,addition,,,,,,48,32,0 + 6 = ? (answered 0),6 + 36 = ? (answered 41),201 + 292 = 493,300 + 500 = 800
20010873545,6,addition,,,,,100.0,74,1500,30 + 50 = ? (answered 800),900 + 9 = ? (answered 9009),14 + 63 = nan,29 + 30 = nan
20012578063,6,addition,,,,,100.0,12,0,,,0 + 0 = 43,0 + 0 = 81
20012609163,6,addition,,,,,,60,49,6 + 36 = ? (answered 4),39 + 0 = ? (answered 3),68020 + 28281 = 96301,69402 + 11901 = 81303
20012609163,6,subtraction,,,,,96.55,118,7225,59 - 0 = ? (answered 9),52 - 5 = ? (answered 41),0 - 0 = 19,79 - 60 = 19
20013691750,6,addition,,,,,95.31,128,114,3 + 60 = ? (answered 61),30 + 50 = ? (answered 50),30 + 54 = nan,54 + 12 = 66
20014607314,6,addition,,,,,96.11,305,21516,8 + 5 = ? (answered 12),6 + 36 = ? (answered 72),3 + 45 = nan,2 + 97 = nan
20015130306,6,addition,,,,,,48,38,900 + 9 = ? (answered 190),21 + 328 = ? (answered 348),6000 + 3350 = 9350,3581 + 4909 = 8490
20015477314,6,addition,,,,,94.41,227,30240,6 + 8 = ? (answered 13),30 + 31 = ? (answered 71),0 + 0 = 7203,2309 + 1805 = 4114
20015519971,6,addition,,,,,97.96,207,68,9 + 99 = ? (answered 100),812 + 39 = ? (answered 84),7 + 602 = 609,189 + 10 = 199
20016361302,6,addition,,,,,93.06,120,16172,725 + 109 = ? (answered 384),6941 + 390 = ? (answered 73t21),325 + 4200 = 4525,4356 + 201 = 4557
20017014716,6,addition,,,,,,60,28,27 + 55 = ? (answered 92),998 + 88 = ? (answered 10),69402 + 11901 = 81303,16464 + 75897 = 92361
